fips,name,State,State Code,Region,Division,msa,type_bea20
255,08021,Conejos County,Colorado,CO,West,Mountain,,Rural
256,08023,Costilla County,Colorado,CO,West,Mountain,,Rural
257,08025,Crowley County,Colorado,CO,West,Mountain,,Rural
258,08027,Custer County,Colorado,CO,West,Mountain,,Rural
259,08029,Delta County,Colorado,CO,West,Mountain,,Rural
260,08031,Denver County,Colorado,CO,West,Mountain,"Denver-Aurora-Lakewood, CO ",Metro
261,08033,Dolores County,Colorado,CO,West,Mountain,,Rural
262,08035,Douglas County,Colorado,CO,West,Mountain,"Denver-Aurora-Lakewood, CO ",Metro
263,08037,Eagle County,Colorado,CO,West,Mountain,"Edwards, CO ",Micro
264,08039,Elbert County,Colorado,CO,West,Mountain,"Denver-Aurora-Lakewood, CO ",Metro
265,08041,El Paso County,Colorado,CO,West,Mountain,"Colorado Springs, CO ",Metro
266,08043,Fremont County,Colorado,CO,West,Mountain,"Ca\'f1on City, CO ",Micro
267,08045,Garfield County,Colorado,CO,West,Mountain,"Glenwood Springs, CO ",Micro
268,08047,Gilpin County,Colorado,CO,West,Mountain,"Denver-Aurora-Lakewood, CO ",Metro
269,08049,Grand County,Colorado,CO,West,Mountain,,Rural
270,08051,Gunnison County,Colorado,CO,West,Mountain,,Rural
271,08053,Hinsdale County,Colorado,CO,West,Mountain,,Rural
272,08055,Huerfano County,Colorado,CO,West,Mountain,,Rural
273,08057,Jackson County,Colorado,CO,West,Mountain,,Rural
274,08059,Jefferson County,Colorado,CO,West,Mountain,"Denver-Aurora-Lakewood, CO ",Metro
275,08061,Kiowa County,Colorado,CO,West,Mountain,,Rural
276,08063,Kit Carson County,Colorado,CO,West,Mountain,,Rural
277,08065,Lake County,Colorado,CO,West,Mountain,,Rural
278,08067,La Plata County,Colorado,CO,West,Mountain,"Durango, CO ",Micro
279,08069,Larimer County,Colorado,CO,West,Mountain,"Fort Collins, CO ",Metro
280,08071,Las Animas County,Colorado,CO,West,Mountain,,Rural
281,08073,Lincoln County,Colorado,CO,West,Mountain,,Rural
282,08075,Logan County,Colorado,CO,West,Mountain,"Sterling, CO ",Micro
283,08077,Mesa County,Colorado,CO,West,Mountain,"Grand Junction, CO ",Metro
284,08079,Mineral County,Colorado,CO,West,Mountain,,Rural
285,08081,Moffat County,Colorado,CO,West,Mountain,"Craig, CO ",Micro
286,08083,Montezuma County,Colorado,CO,West,Mountain,,Rural
287,08085,Montrose County,Colorado,CO,West,Mountain,"Montrose, CO ",Micro
288,08087,Morgan County,Colorado,CO,West,Mountain,"Fort Morgan, CO ",Micro
289,08089,Otero County,Colorado,CO,West,Mountain,,Rural
290,08091,Ouray County,Colorado,CO,West,Mountain,"Montrose, CO ",Micro
291,08093,Park County,Colorado,CO,West,Mountain,"Denver-Aurora-Lakewood, CO ",Metro
292,08095,Phillips County,Colorado,CO,West,Mountain,,Rural
293,08097,Pitkin County,Colorado,CO,West,Mountain,"Glenwood Springs, CO ",Micro
294,08099,Prowers County,Colorado,CO,West,Mountain,,Rural
295,08101,Pueblo County,Colorado,CO,West,Mountain,"Pueblo, CO ",Metro
296,08103,Rio Blanco County,Colorado,CO,West,Mountain,,Rural
297,08105,Rio Grande County,Colorado,CO,West,Mountain,,Rural
298,08107,Routt County,Colorado,CO,West,Mountain,"Steamboat Springs, CO ",Micro
299,08109,Saguache County,Colorado,CO,West,Mountain,,Rural
300,08111,San Juan County,Colorado,CO,West,Mountain,,Rural
301,08113,San Miguel County,Colorado,CO,West,Mountain,,Rural
302,08115,Sedgwick County,Colorado,CO,West,Mountain,,Rural
303,08117,Summit County,Colorado,CO,West,Mountain,"Breckenridge, CO ",Micro
304,08119,Teller County,Colorado,CO,West,Mountain,"Colorado Springs, CO ",Metro
305,08121,Washington County,Colorado,CO,West,Mountain,,Rural
306,08123,Weld County,Colorado,CO,West,Mountain,"Greeley, CO ",Metro
307,08125,Yuma County,Colorado,CO,West,Mountain,,Rural
308,09001,Fairfield County,Connecticut,CT,Northeast,New England,"Bridgeport-Stamford-Norwalk, CT ",Metro
309,09003,Hartford County,Connecticut,CT,Northeast,New England,"Hartford-East Hartford-Middletown, CT ",Metro
310,09005,Litchfield County,Connecticut,CT,Northeast,New England,"Torrington, CT ",Micro
311,09007,Middlesex County,Connecticut,CT,Northeast,New England,"Hartford-East Hartford-Middletown, CT ",Metro
312,09009,New Haven County,Connecticut,CT,Northeast,New England,"New Haven-Milford, CT ",Metro
313,09011,New London County,Connecticut,CT,Northeast,New England,"Norwich-New London, CT ",Metro
314,09013,Tolland County,Connecticut,CT,Northeast,New England,"Hartford-East Hartford-Middletown, CT ",Metro
315,09015,Windham County,Connecticut,CT,Northeast,New England,"Worcester, MA-CT ",Metro
316,10001,Kent County,Delaware,DE,South,South Atlantic,"Dover, DE ",Metro
317,10003,New Castle County,Delaware,DE,South,South Atlantic,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",Metro
318,10005,Sussex County,Delaware,DE,South,South Atlantic,"Salisbury, MD-DE ",Metro
319,11001,District of Columbia,District of Columbia,DC,South,South Atlantic,"Washington-Arlington-Alexandria, DC-VA-MD-WV ",Metro
320,12001,Alachua County,Florida,FL,South,South Atlantic,"Gainesville, FL ",Metro
321,12003,Baker County,Florida,FL,South,South Atlantic,"Jacksonville, FL ",Metro
322,12005,Bay County,Florida,FL,South,South Atlantic,"Panama City, FL ",Metro
323,12007,Bradford County,Florida,FL,South,South Atlantic,,Rural
324,12009,Brevard County,Florida,FL,South,South Atlantic,"Palm Bay-Melbourne-Titusville, FL ",Metro
325,12011,Broward County,Florida,FL,South,South Atlantic,"Miami-Fort Lauderdale-Pompano Beach, FL ",Metro
326,12013,Calhoun County,Florida,FL,South,South Atlantic,,Rural
327,12015,Charlotte County,Florida,FL,South,South Atlantic,"Punta Gorda, FL ",Metro
328,12017,Citrus County,Florida,FL,South,South Atlantic,"Homosassa Springs, FL ",Metro
329,12019,Clay County,Florida,FL,South,South Atlantic,"Jacksonville, FL ",Metro
330,12021,Collier County,Florida,FL,South,South Atlantic,"Naples-Marco Island, FL ",Metro
331,12023,Columbia County,Florida,FL,South,South Atlantic,"Lake City, FL ",Micro
332,12027,DeSoto County,Florida,FL,South,South Atlantic,"Arcadia, FL ",Micro
333,12029,Dixie County,Florida,FL,South,South Atlantic,,Rural
334,12031,Duval County,Florida,FL,South,South Atlantic,"Jacksonville, FL ",Metro
335,12033,Escambia County,Florida,FL,South,South Atlantic,"Pensacola-Ferry Pass-Brent, FL ",Metro
336,12035,Flagler County,Florida,FL,South,South Atlantic,"Deltona-Daytona Beach-Ormond Beach, FL ",Metro
337,12037,Franklin County,Florida,FL,South,South Atlantic,,Rural
338,12039,Gadsden County,Florida,FL,South,South Atlantic,"Tallahassee, FL ",Metro
339,12041,Gilchrist County,Florida,FL,South,South Atlantic,"Gainesville, FL ",Metro
340,12043,Glades County,Florida,FL,South,South Atlantic,,Rural
341,12045,Gulf County,Florida,FL,South,South Atlantic,,Rural
342,12047,Hamilton County,Florida,FL,South,South Atlantic,,Rural
343,12049,Hardee County,Florida,FL,South,South Atlantic,"Wauchula, FL ",Micro
344,12051,Hendry County,Florida,FL,South,South Atlantic,"Clewiston, FL ",Micro
345,12053,Hernando County,Florida,FL,South,South Atlantic,"Tampa-St. Petersburg-Clearwater, FL ",Metro
346,12055,Highlands County,Florida,FL,South,South Atlantic,"Sebring-Avon Park, FL ",Metro
347,12057,Hillsborough County,Florida,FL,South,South Atlantic,"Tampa-St. Petersburg-Clearwater, FL ",Metro
348,12059,Holmes County,Florida,FL,South,South Atlantic,,Rural
349,12061,Indian River County,Florida,FL,South,South Atlantic,"Sebastian-Vero Beach, FL ",Metro
