CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS
33660,,380,"Mobile, AL ",Metropolitan Statistical Area,1,,"Mobile-Daphne-Fairhope, AL",Mobile County,Alabama,1097
33700,,,"Modesto, CA ",Metropolitan Statistical Area,1,,,Stanislaus County,California,6099
33740,,384,"Monroe, LA ",Metropolitan Statistical Area,1,,"Monroe-Bastrop, LA",Ouachita Parish,Louisiana,22073
33740,,384,"Monroe, LA ",Metropolitan Statistical Area,1,,"Monroe-Bastrop, LA",Union Parish,Louisiana,22111
33780,,220,"Monroe, MI ",Metropolitan Statistical Area,1,,"Detroit-Warren-Flint, MI",Monroe County,Michigan,26115
33820,,,"Monroe, WI ",Micropolitan Statistical Area,2,,,Green County,Wisconsin,55045
33860,,,"Montgomery, AL ",Metropolitan Statistical Area,1,,,Autauga County,Alabama,1001
33860,,,"Montgomery, AL ",Metropolitan Statistical Area,1,,,Elmore County,Alabama,1051
33860,,,"Montgomery, AL ",Metropolitan Statistical Area,1,,,Lowndes County,Alabama,1085
33860,,,"Montgomery, AL ",Metropolitan Statistical Area,1,,,Montgomery County,Alabama,1101
33940,,,"Montrose, CO ",Micropolitan Statistical Area,2,,,Montrose County,Colorado,8085
33980,,,"Morehead City, NC ",Micropolitan Statistical Area,2,,,Carteret County,North Carolina,37031
34020,,,"Morgan City, LA ",Micropolitan Statistical Area,2,,,St. Mary Parish,Louisiana,22101
34060,,,"Morgantown, WV ",Metropolitan Statistical Area,1,,,Monongalia County,West Virginia,54061
34060,,,"Morgantown, WV ",Metropolitan Statistical Area,1,,,Preston County,West Virginia,54077
34100,,392,"Morristown, TN ",Metropolitan Statistical Area,1,,"Morristown-Newport, TN",Grainger County,Tennessee,47057
34100,,392,"Morristown, TN ",Metropolitan Statistical Area,1,,"Morristown-Newport, TN",Hamblen County,Tennessee,47063
